                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95399,                 0.9973,                0.99989,                 2.4402,              0.0030829,              0.0030829,              0.0030829
                      2,                0.18613,                0.99747,                0.99989,                 2.4328,              0.0055554,              0.0055554,              0.0055554
                      3,                0.17659,                0.99908,                0.99989,                 2.4285,              0.0074167,              0.0074167,              0.0074167
                      4,                0.17735,                0.99897,                      1,                 2.4281,              0.0070271,              0.0070271,              0.0070271
                      5,                0.12673,                0.99971,                      1,                 2.4269,              0.0060361,              0.0060361,              0.0060361
                      6,                0.09529,                0.99983,                      1,                 2.4263,              0.0050452,              0.0050452,              0.0050452
                      7,                0.07381,                0.99994,                      1,                 2.4261,              0.0040542,              0.0040542,              0.0040542
                      8,                0.06114,                0.99989,                      1,                  2.426,              0.0030632,              0.0030632,              0.0030632
                      9,                0.04844,                0.99989,                      1,                 2.4259,              0.0020722,              0.0020722,              0.0020722
                     10,                0.03868,                      1,                      1,                 2.4258,              0.0010813,              0.0010813,              0.0010813
