                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1627,                0.99408,                0.99989,                 2.4526,              0.0033115,              0.0033115,              0.0033115
                      2,                0.20803,                0.99701,                      1,                  2.434,              0.0059682,              0.0059682,              0.0059682
                      3,                0.16353,                0.99874,                      1,                 2.4289,              0.0079693,              0.0079693,              0.0079693
                      4,                0.12923,                0.99948,                      1,                 2.4269,              0.0070309,              0.0070309,              0.0070309
                      5,                  0.098,                0.99971,                      1,                 2.4263,              0.0060412,              0.0060412,              0.0060412
                      6,                0.08149,                0.99989,                      1,                 2.4261,              0.0050515,              0.0050515,              0.0050515
                      7,                0.06845,                0.99983,                      1,                  2.426,              0.0040618,              0.0040618,              0.0040618
                      8,                0.05763,                0.99989,                      1,                  2.426,              0.0030721,              0.0030721,              0.0030721
                      9,                0.04813,                0.99994,                      1,                 2.4259,              0.0020824,              0.0020824,              0.0020824
                     10,                 0.0438,                0.99994,                      1,                 2.4259,              0.0010927,              0.0010927,              0.0010927
