                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2902,                0.99362,                      1,                  2.458,              0.0032992,              0.0032992,              0.0032992
                      2,                0.20344,                0.99736,                0.99994,                  2.433,              0.0059466,              0.0059466,              0.0059466
                      3,                 0.1601,                0.99856,                      1,                 2.4295,              0.0079415,              0.0079415,              0.0079415
                      4,                0.13906,                0.99925,                      1,                 2.4271,              0.0070337,              0.0070337,              0.0070337
                      5,                0.09473,                0.99966,                      1,                 2.4265,              0.0060449,              0.0060449,              0.0060449
                      6,                0.07521,                0.99977,                      1,                 2.4262,              0.0050562,              0.0050562,              0.0050562
                      7,                0.06122,                0.99989,                      1,                  2.426,              0.0040674,              0.0040674,              0.0040674
                      8,                0.05024,                0.99989,                      1,                 2.4259,              0.0030786,              0.0030786,              0.0030786
                      9,                0.04447,                0.99989,                      1,                 2.4259,              0.0020898,              0.0020898,              0.0020898
                     10,                 0.0363,                0.99994,                      1,                 2.4259,              0.0011011,              0.0011011,              0.0011011
