                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.326,                0.99391,                0.99989,                 2.4576,              0.0033868,              0.0033868,              0.0033868
                      2,                0.22484,                0.99868,                      1,                 2.4314,              0.0061051,              0.0061051,              0.0061051
                      3,                0.21611,                0.99511,                0.99994,                 2.4346,              0.0080239,              0.0080239,              0.0080239
                      4,                0.20765,                0.99879,                0.99994,                 2.4289,              0.0070359,              0.0070359,              0.0070359
                      5,                0.13763,                0.99954,                      1,                 2.4268,              0.0060479,              0.0060479,              0.0060479
                      6,                0.10507,                0.99977,                      1,                 2.4263,              0.0050599,              0.0050599,              0.0050599
                      7,                0.08332,                0.99989,                      1,                 2.4261,              0.0040718,              0.0040718,              0.0040718
                      8,                0.06926,                0.99983,                      1,                  2.426,              0.0030838,              0.0030838,              0.0030838
                      9,                0.05337,                0.99994,                      1,                 2.4259,              0.0020958,              0.0020958,              0.0020958
                     10,                0.04449,                      1,                      1,                 2.4259,              0.0011077,              0.0011077,              0.0011077
