                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1777,                0.99397,                      1,                 2.4517,              0.0032196,              0.0032196,              0.0032196
                      2,                0.20683,                0.99879,                      1,                 2.4315,              0.0063761,              0.0063761,              0.0063761
                      3,                 0.1757,                0.99833,                      1,                 2.4301,              0.0094689,              0.0094689,              0.0094689
                      4,                0.18408,                0.99925,                      1,                 2.4281,               0.009703,               0.009703,               0.009703
                      5,                0.13605,                0.99977,                      1,                 2.4269,               0.009604,               0.009604,               0.009604
                      6,                0.12045,                0.99989,                      1,                 2.4262,               0.009505,               0.009505,               0.009505
                      7,                0.11088,                0.99989,                      1,                  2.426,               0.009406,               0.009406,               0.009406
                      8,                 0.1029,                0.99983,                      1,                 2.4261,              0.0093069,              0.0093069,              0.0093069
                      9,                0.10066,                0.99983,                      1,                 2.4261,              0.0092079,              0.0092079,              0.0092079
                     10,                0.10149,                0.99989,                      1,                 2.4261,              0.0091089,              0.0091089,              0.0091089
                     11,                0.09527,                0.99989,                      1,                  2.426,              0.0090099,              0.0090099,              0.0090099
                     12,                0.09685,                0.99989,                      1,                  2.426,              0.0089109,              0.0089109,              0.0089109
                     13,                 0.0961,                0.99989,                      1,                  2.426,              0.0088119,              0.0088119,              0.0088119
                     14,                0.08999,                0.99989,                      1,                  2.426,              0.0087129,              0.0087129,              0.0087129
                     15,                0.09302,                0.99989,                      1,                  2.426,              0.0086139,              0.0086139,              0.0086139
                     16,                0.09338,                0.99989,                      1,                  2.426,              0.0085149,              0.0085149,              0.0085149
                     17,                 0.0923,                0.99989,                      1,                  2.426,              0.0084159,              0.0084159,              0.0084159
                     18,                0.08705,                0.99989,                      1,                 2.4259,              0.0083169,              0.0083169,              0.0083169
                     19,                0.08597,                0.99989,                      1,                 2.4259,              0.0082179,              0.0082179,              0.0082179
                     20,                 0.0895,                0.99989,                      1,                 2.4259,              0.0081188,              0.0081188,              0.0081188
                     21,                0.08453,                0.99989,                      1,                 2.4259,              0.0080198,              0.0080198,              0.0080198
                     22,                0.08379,                0.99989,                      1,                 2.4259,              0.0079208,              0.0079208,              0.0079208
                     23,                0.08231,                0.99989,                      1,                 2.4259,              0.0078218,              0.0078218,              0.0078218
                     24,                0.08109,                0.99989,                      1,                 2.4259,              0.0077228,              0.0077228,              0.0077228
                     25,                 0.0789,                0.99989,                      1,                 2.4259,              0.0076238,              0.0076238,              0.0076238
                     26,                0.07656,                0.99989,                      1,                 2.4259,              0.0075248,              0.0075248,              0.0075248
                     27,                0.08131,                0.99989,                      1,                 2.4259,              0.0074258,              0.0074258,              0.0074258
                     28,                0.07638,                0.99989,                      1,                 2.4259,              0.0073268,              0.0073268,              0.0073268
                     29,                0.07545,                0.99989,                      1,                 2.4259,              0.0072278,              0.0072278,              0.0072278
                     30,                0.07628,                0.99989,                      1,                 2.4259,              0.0071288,              0.0071288,              0.0071288
                     31,                0.07348,                0.99989,                      1,                 2.4259,              0.0070298,              0.0070298,              0.0070298
                     32,                 0.0738,                0.99989,                      1,                 2.4259,              0.0069308,              0.0069308,              0.0069308
                     33,                0.07339,                0.99989,                      1,                 2.4259,              0.0068317,              0.0068317,              0.0068317
                     34,                0.07415,                0.99989,                      1,                 2.4259,              0.0067327,              0.0067327,              0.0067327
                     35,                0.06741,                0.99989,                      1,                 2.4259,              0.0066337,              0.0066337,              0.0066337
                     36,                0.06518,                0.99989,                      1,                 2.4259,              0.0065347,              0.0065347,              0.0065347
                     37,                0.06736,                0.99994,                      1,                 2.4259,              0.0064357,              0.0064357,              0.0064357
                     38,                0.07026,                0.99994,                      1,                 2.4259,              0.0063367,              0.0063367,              0.0063367
                     39,                0.06432,                0.99994,                      1,                 2.4259,              0.0062377,              0.0062377,              0.0062377
                     40,                0.06778,                0.99994,                      1,                 2.4259,              0.0061387,              0.0061387,              0.0061387
                     41,                0.06453,                0.99989,                      1,                 2.4259,              0.0060397,              0.0060397,              0.0060397
                     42,                0.06438,                0.99989,                      1,                 2.4259,              0.0059407,              0.0059407,              0.0059407
                     43,                0.06281,                0.99989,                      1,                 2.4259,              0.0058417,              0.0058417,              0.0058417
                     44,                0.06125,                0.99989,                      1,                 2.4259,              0.0057427,              0.0057427,              0.0057427
                     45,                0.06032,                0.99989,                      1,                 2.4259,              0.0056436,              0.0056436,              0.0056436
