                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1642,                0.99569,                0.99989,                 2.4513,                0.00334,                0.00334,                0.00334
                      2,                0.20862,                0.99787,                      1,                  2.432,              0.0060194,              0.0060194,              0.0060194
                      3,                0.17767,                0.99862,                      1,                 2.4297,                0.00802,                0.00802,                0.00802
                      4,                0.15628,                0.99931,                      1,                 2.4272,                0.00703,                0.00703,                0.00703
                      5,                0.10941,                0.99994,                      1,                 2.4262,                0.00604,                0.00604,                0.00604
                      6,                0.08791,                0.99977,                      1,                 2.4263,                0.00505,                0.00505,                0.00505
                      7,                  0.072,                0.99994,                      1,                 2.4259,                0.00406,                0.00406,                0.00406
                      8,                0.05976,                      1,                      1,                 2.4259,                0.00307,                0.00307,                0.00307
                      9,                0.04746,                0.99994,                      1,                 2.4259,                0.00208,                0.00208,                0.00208
                     10,                 0.0413,                0.99994,                      1,                 2.4259,                0.00109,                0.00109,                0.00109
