                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9064,                0.90073,                0.99875,                 2.4292,              0.0033314,              0.0033314,              0.0033314
                      2,                0.31364,                0.99052,                      1,                 2.2754,              0.0066427,              0.0066427,              0.0066427
                      3,                0.17582,                0.95455,                0.99875,                 2.3256,              0.0099321,              0.0099321,              0.0099321
                      4,                0.15944,                0.99833,                      1,                 2.2512,               0.009901,               0.009901,               0.009901
                      5,                0.09196,                0.99833,                      1,                 2.2509,               0.009868,               0.009868,               0.009868
                      6,                0.08033,                0.99805,                      1,                 2.2519,               0.009835,               0.009835,               0.009835
                      7,                0.06639,                0.99944,                      1,                 2.2497,               0.009802,               0.009802,               0.009802
                      8,                0.05336,                0.99498,                      1,                 2.2527,               0.009769,               0.009769,               0.009769
                      9,                0.05444,                0.99596,                      1,                 2.2525,               0.009736,               0.009736,               0.009736
                     10,                0.04452,                0.99958,                      1,                 2.2496,               0.009703,               0.009703,               0.009703
                     11,                0.04937,                0.99986,                      1,                 2.2489,                0.00967,                0.00967,                0.00967
                     12,                0.03899,                0.99791,                      1,                 2.2509,               0.009637,               0.009637,               0.009637
                     13,                0.04381,                      1,                      1,                 2.2482,               0.009604,               0.009604,               0.009604
                     14,                0.04026,                      1,                      1,                 2.2485,               0.009571,               0.009571,               0.009571
                     15,                0.03876,                0.99986,                      1,                 2.2487,               0.009538,               0.009538,               0.009538
                     16,                0.04054,                      1,                      1,                 2.2481,               0.009505,               0.009505,               0.009505
                     17,                0.03561,                      1,                      1,                 2.2483,               0.009472,               0.009472,               0.009472
                     18,                0.04133,                      1,                      1,                 2.2483,               0.009439,               0.009439,               0.009439
                     19,                0.03974,                      1,                      1,                 2.2484,               0.009406,               0.009406,               0.009406
                     20,                0.04206,                0.99958,                      1,                  2.249,               0.009373,               0.009373,               0.009373
                     21,                0.03663,                0.99833,                      1,                 2.2499,                0.00934,                0.00934,                0.00934
                     22,                0.04002,                 0.9947,                      1,                 2.2525,               0.009307,               0.009307,               0.009307
                     23,                0.04029,                0.99721,                      1,                 2.2512,               0.009274,               0.009274,               0.009274
                     24,                0.03765,                0.99777,                      1,                 2.2502,               0.009241,               0.009241,               0.009241
                     25,                0.04415,                0.99986,                      1,                 2.2487,               0.009208,               0.009208,               0.009208
                     26,                0.03883,                      1,                      1,                 2.2487,               0.009175,               0.009175,               0.009175
                     27,                0.03791,                0.99958,                      1,                 2.2494,               0.009142,               0.009142,               0.009142
                     28,                0.03508,                0.99986,                      1,                 2.2489,               0.009109,               0.009109,               0.009109
                     29,                0.03936,                0.99986,                      1,                 2.2489,               0.009076,               0.009076,               0.009076
                     30,                0.03671,                      1,                      1,                 2.2484,               0.009043,               0.009043,               0.009043
                     31,                0.03697,                      1,                      1,                 2.2483,                0.00901,                0.00901,                0.00901
                     32,                0.03892,                      1,                      1,                 2.2482,               0.008977,               0.008977,               0.008977
                     33,                0.03353,                      1,                      1,                 2.2482,               0.008944,               0.008944,               0.008944
                     34,                0.03355,                      1,                      1,                 2.2482,               0.008911,               0.008911,               0.008911
                     35,                0.03498,                      1,                      1,                 2.2482,               0.008878,               0.008878,               0.008878
                     36,                0.03782,                      1,                      1,                 2.2482,               0.008845,               0.008845,               0.008845
                     37,                0.03685,                      1,                      1,                 2.2482,               0.008812,               0.008812,               0.008812
                     38,                0.04584,                      1,                      1,                 2.2482,               0.008779,               0.008779,               0.008779
                     39,                0.03585,                      1,                      1,                 2.2481,               0.008746,               0.008746,               0.008746
                     40,                0.03474,                      1,                      1,                 2.2481,               0.008713,               0.008713,               0.008713
                     41,                0.03894,                      1,                      1,                 2.2481,                0.00868,                0.00868,                0.00868
                     42,                0.03589,                      1,                      1,                 2.2481,               0.008647,               0.008647,               0.008647
                     43,                0.03102,                      1,                      1,                 2.2482,               0.008614,               0.008614,               0.008614
                     44,                0.03789,                      1,                      1,                 2.2482,               0.008581,               0.008581,               0.008581
                     45,                0.03621,                      1,                      1,                 2.2481,               0.008548,               0.008548,               0.008548
                     46,                0.03526,                      1,                      1,                 2.2482,               0.008515,               0.008515,               0.008515
                     47,                0.03661,                      1,                      1,                 2.2482,               0.008482,               0.008482,               0.008482
                     48,                0.03553,                      1,                      1,                 2.2482,               0.008449,               0.008449,               0.008449
                     49,                 0.0319,                      1,                      1,                 2.2482,               0.008416,               0.008416,               0.008416
                     50,                0.03184,                      1,                      1,                 2.2482,               0.008383,               0.008383,               0.008383
                     51,                0.03459,                      1,                      1,                 2.2482,                0.00835,                0.00835,                0.00835
                     52,                0.03099,                      1,                      1,                 2.2482,               0.008317,               0.008317,               0.008317
                     53,                0.03336,                      1,                      1,                 2.2482,               0.008284,               0.008284,               0.008284
                     54,                0.02765,                      1,                      1,                 2.2482,               0.008251,               0.008251,               0.008251
                     55,                0.03482,                      1,                      1,                 2.2482,               0.008218,               0.008218,               0.008218
                     56,                0.02903,                      1,                      1,                 2.2482,               0.008185,               0.008185,               0.008185
                     57,                0.02906,                      1,                      1,                 2.2482,               0.008152,               0.008152,               0.008152
                     58,                  0.029,                      1,                      1,                 2.2482,               0.008119,               0.008119,               0.008119
                     59,                0.02855,                      1,                      1,                 2.2482,               0.008086,               0.008086,               0.008086
                     60,                0.03695,                      1,                      1,                 2.2482,               0.008053,               0.008053,               0.008053
                     61,                0.02923,                      1,                      1,                 2.2482,                0.00802,                0.00802,                0.00802
                     62,                0.03204,                      1,                      1,                 2.2483,               0.007987,               0.007987,               0.007987
                     63,                0.03621,                      1,                      1,                 2.2483,               0.007954,               0.007954,               0.007954
                     64,                0.03124,                      1,                      1,                 2.2483,               0.007921,               0.007921,               0.007921
                     65,                0.02782,                      1,                      1,                 2.2483,               0.007888,               0.007888,               0.007888
                     66,                0.03267,                      1,                      1,                 2.2482,               0.007855,               0.007855,               0.007855
                     67,                0.02874,                      1,                      1,                 2.2482,               0.007822,               0.007822,               0.007822
                     68,                0.02733,                      1,                      1,                 2.2482,               0.007789,               0.007789,               0.007789
                     69,                0.02905,                      1,                      1,                 2.2482,               0.007756,               0.007756,               0.007756
                     70,                0.02869,                      1,                      1,                 2.2482,               0.007723,               0.007723,               0.007723
                     71,                0.03336,                      1,                      1,                 2.2482,                0.00769,                0.00769,                0.00769
                     72,                0.03318,                      1,                      1,                 2.2482,               0.007657,               0.007657,               0.007657
                     73,                0.02626,                      1,                      1,                 2.2482,               0.007624,               0.007624,               0.007624
                     74,                0.02616,                      1,                      1,                 2.2481,               0.007591,               0.007591,               0.007591
                     75,                0.03092,                      1,                      1,                 2.2481,               0.007558,               0.007558,               0.007558
                     76,                0.02788,                      1,                      1,                 2.2482,               0.007525,               0.007525,               0.007525
                     77,                0.02688,                      1,                      1,                 2.2482,               0.007492,               0.007492,               0.007492
                     78,                0.02864,                      1,                      1,                 2.2482,               0.007459,               0.007459,               0.007459
                     79,                  0.026,                      1,                      1,                 2.2482,               0.007426,               0.007426,               0.007426
                     80,                0.03248,                      1,                      1,                 2.2482,               0.007393,               0.007393,               0.007393
                     81,                0.02314,                      1,                      1,                 2.2482,                0.00736,                0.00736,                0.00736
                     82,                  0.027,                      1,                      1,                 2.2482,               0.007327,               0.007327,               0.007327
                     83,                 0.0241,                      1,                      1,                 2.2482,               0.007294,               0.007294,               0.007294
                     84,                0.03173,                      1,                      1,                 2.2482,               0.007261,               0.007261,               0.007261
                     85,                0.02464,                      1,                      1,                 2.2482,               0.007228,               0.007228,               0.007228
                     86,                0.02574,                      1,                      1,                 2.2482,               0.007195,               0.007195,               0.007195
                     87,                0.03214,                      1,                      1,                 2.2483,               0.007162,               0.007162,               0.007162
                     88,                0.02668,                      1,                      1,                 2.2483,               0.007129,               0.007129,               0.007129
                     89,                0.02451,                      1,                      1,                 2.2483,               0.007096,               0.007096,               0.007096
                     90,                0.02761,                      1,                      1,                 2.2484,               0.007063,               0.007063,               0.007063
                     91,                0.02552,                      1,                      1,                 2.2484,                0.00703,                0.00703,                0.00703
                     92,                0.02486,                      1,                      1,                 2.2483,               0.006997,               0.006997,               0.006997
                     93,                0.02272,                      1,                      1,                 2.2483,               0.006964,               0.006964,               0.006964
                     94,                0.02143,                      1,                      1,                 2.2483,               0.006931,               0.006931,               0.006931
                     95,                 0.0258,                      1,                      1,                 2.2484,               0.006898,               0.006898,               0.006898
                     96,                0.02299,                      1,                      1,                 2.2483,               0.006865,               0.006865,               0.006865
                     97,                0.02303,                      1,                      1,                 2.2483,               0.006832,               0.006832,               0.006832
                     98,                0.02458,                      1,                      1,                 2.2483,               0.006799,               0.006799,               0.006799
                     99,                0.02556,                      1,                      1,                 2.2483,               0.006766,               0.006766,               0.006766
                    100,                0.02833,                      1,                      1,                 2.2483,               0.006733,               0.006733,               0.006733
                    101,                0.02209,                      1,                      1,                 2.2483,                 0.0067,                 0.0067,                 0.0067
                    102,                0.02168,                      1,                      1,                 2.2483,               0.006667,               0.006667,               0.006667
                    103,                0.02486,                      1,                      1,                 2.2483,               0.006634,               0.006634,               0.006634
                    104,                0.02504,                      1,                      1,                 2.2484,               0.006601,               0.006601,               0.006601
                    105,                0.02009,                      1,                      1,                 2.2484,               0.006568,               0.006568,               0.006568
                    106,                 0.0225,                      1,                      1,                 2.2484,               0.006535,               0.006535,               0.006535
                    107,                0.02647,                      1,                      1,                 2.2484,               0.006502,               0.006502,               0.006502
                    108,                0.02287,                      1,                      1,                 2.2485,               0.006469,               0.006469,               0.006469
                    109,                0.02174,                      1,                      1,                 2.2485,               0.006436,               0.006436,               0.006436
                    110,                0.02356,                      1,                      1,                 2.2485,               0.006403,               0.006403,               0.006403
                    111,                0.02172,                      1,                      1,                 2.2485,                0.00637,                0.00637,                0.00637
                    112,                0.01969,                      1,                      1,                 2.2485,               0.006337,               0.006337,               0.006337
                    113,                0.02134,                      1,                      1,                 2.2485,               0.006304,               0.006304,               0.006304
                    114,                0.02187,                      1,                      1,                 2.2485,               0.006271,               0.006271,               0.006271
                    115,                0.02069,                      1,                      1,                 2.2485,               0.006238,               0.006238,               0.006238
                    116,                0.01808,                      1,                      1,                 2.2485,               0.006205,               0.006205,               0.006205
                    117,                 0.0193,                      1,                      1,                 2.2485,               0.006172,               0.006172,               0.006172
                    118,                0.02311,                      1,                      1,                 2.2485,               0.006139,               0.006139,               0.006139
                    119,                 0.0209,                      1,                      1,                 2.2485,               0.006106,               0.006106,               0.006106
                    120,                0.02033,                      1,                      1,                 2.2485,               0.006073,               0.006073,               0.006073
                    121,                0.02364,                      1,                      1,                 2.2484,                0.00604,                0.00604,                0.00604
                    122,                0.01846,                      1,                      1,                 2.2484,               0.006007,               0.006007,               0.006007
                    123,                0.01975,                      1,                      1,                 2.2484,               0.005974,               0.005974,               0.005974
