                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1338,                0.99494,                0.99983,                 2.4492,              0.0041129,              0.0041129,              0.0041129
                      2,                0.20312,                0.99603,                      1,                 2.4345,              0.0074095,              0.0074095,              0.0074095
                      3,                0.33711,                0.99259,                0.99989,                 2.4411,              0.0080131,              0.0080131,              0.0080131
                      4,                0.20863,                0.99845,                0.99994,                 2.4303,              0.0070196,              0.0070196,              0.0070196
                      5,                0.15703,                0.99902,                      1,                 2.4287,              0.0060262,              0.0060262,              0.0060262
                      6,                0.12816,                0.99971,                      1,                 2.4269,              0.0050327,              0.0050327,              0.0050327
                      7,                0.10231,                0.99977,                      1,                 2.4264,              0.0040393,              0.0040393,              0.0040393
                      8,                  0.082,                0.99989,                      1,                 2.4262,              0.0030459,              0.0030459,              0.0030459
                      9,                0.06625,                0.99994,                      1,                  2.426,              0.0020524,              0.0020524,              0.0020524
                     10,                0.04816,                      1,                      1,                  2.426,              0.0010589,              0.0010589,              0.0010589
