                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1058,                0.99667,                      1,                 2.4474,              0.0033327,              0.0033327,              0.0033327
                      2,                0.19521,                0.99851,                      1,                 2.4299,               0.006644,               0.006644,               0.006644
                      3,                0.18429,                0.99931,                      1,                 2.4288,              0.0099333,              0.0099333,              0.0099333
                      4,                0.18079,                0.99989,                      1,                 2.4266,               0.009901,               0.009901,               0.009901
                      5,                0.14194,                0.99977,                      1,                 2.4264,               0.009868,               0.009868,               0.009868
                      6,                0.12399,                      1,                      1,                 2.4261,               0.009835,               0.009835,               0.009835
                      7,                 0.1177,                      1,                      1,                  2.426,               0.009802,               0.009802,               0.009802
                      8,                0.11145,                      1,                      1,                 2.4259,               0.009769,               0.009769,               0.009769
                      9,                0.11107,                      1,                      1,                 2.4259,               0.009736,               0.009736,               0.009736
                     10,                0.10853,                      1,                      1,                 2.4258,               0.009703,               0.009703,               0.009703
                     11,                0.10968,                      1,                      1,                 2.4258,                0.00967,                0.00967,                0.00967
                     12,                0.10823,                      1,                      1,                 2.4258,               0.009637,               0.009637,               0.009637
                     13,                0.10813,                      1,                      1,                 2.4258,               0.009604,               0.009604,               0.009604
                     14,                0.10816,                      1,                      1,                 2.4258,               0.009571,               0.009571,               0.009571
                     15,                0.10579,                      1,                      1,                 2.4258,               0.009538,               0.009538,               0.009538
                     16,                0.10149,                      1,                      1,                 2.4258,               0.009505,               0.009505,               0.009505
                     17,                0.10071,                      1,                      1,                 2.4258,               0.009472,               0.009472,               0.009472
                     18,                0.09639,                      1,                      1,                 2.4258,               0.009439,               0.009439,               0.009439
                     19,                0.10313,                      1,                      1,                 2.4258,               0.009406,               0.009406,               0.009406
                     20,                0.09866,                      1,                      1,                 2.4258,               0.009373,               0.009373,               0.009373
                     21,                0.10053,                      1,                      1,                 2.4258,                0.00934,                0.00934,                0.00934
                     22,                 0.0991,                      1,                      1,                 2.4258,               0.009307,               0.009307,               0.009307
                     23,                0.09797,                      1,                      1,                 2.4258,               0.009274,               0.009274,               0.009274
                     24,                0.09319,                      1,                      1,                 2.4258,               0.009241,               0.009241,               0.009241
                     25,                0.09603,                      1,                      1,                 2.4258,               0.009208,               0.009208,               0.009208
                     26,                0.09723,                      1,                      1,                 2.4258,               0.009175,               0.009175,               0.009175
                     27,                0.09533,                      1,                      1,                 2.4258,               0.009142,               0.009142,               0.009142
                     28,                 0.0931,                      1,                      1,                 2.4258,               0.009109,               0.009109,               0.009109
                     29,                0.09231,                      1,                      1,                 2.4258,               0.009076,               0.009076,               0.009076
                     30,                0.09269,                      1,                      1,                 2.4258,               0.009043,               0.009043,               0.009043
                     31,                0.08857,                      1,                      1,                 2.4258,                0.00901,                0.00901,                0.00901
                     32,                0.09218,                      1,                      1,                 2.4258,               0.008977,               0.008977,               0.008977
                     33,                0.08868,                      1,                      1,                 2.4258,               0.008944,               0.008944,               0.008944
                     34,                0.09233,                      1,                      1,                 2.4258,               0.008911,               0.008911,               0.008911
                     35,                0.08834,                      1,                      1,                 2.4258,               0.008878,               0.008878,               0.008878
                     36,                0.09015,                      1,                      1,                 2.4258,               0.008845,               0.008845,               0.008845
                     37,                0.08904,                      1,                      1,                 2.4258,               0.008812,               0.008812,               0.008812
                     38,                0.09234,                      1,                      1,                 2.4258,               0.008779,               0.008779,               0.008779
                     39,                0.08644,                      1,                      1,                 2.4258,               0.008746,               0.008746,               0.008746
                     40,                0.08809,                      1,                      1,                 2.4258,               0.008713,               0.008713,               0.008713
                     41,                0.08655,                      1,                      1,                 2.4258,                0.00868,                0.00868,                0.00868
                     42,                0.08798,                      1,                      1,                 2.4258,               0.008647,               0.008647,               0.008647
                     43,                0.08376,                      1,                      1,                 2.4258,               0.008614,               0.008614,               0.008614
                     44,                0.08868,                      1,                      1,                 2.4258,               0.008581,               0.008581,               0.008581
                     45,                0.08621,                      1,                      1,                 2.4258,               0.008548,               0.008548,               0.008548
                     46,                0.08377,                      1,                      1,                 2.4258,               0.008515,               0.008515,               0.008515
                     47,                0.08557,                      1,                      1,                 2.4258,               0.008482,               0.008482,               0.008482
                     48,                0.08564,                      1,                      1,                 2.4258,               0.008449,               0.008449,               0.008449
                     49,                0.08125,                      1,                      1,                 2.4258,               0.008416,               0.008416,               0.008416
                     50,                0.08146,                      1,                      1,                 2.4258,               0.008383,               0.008383,               0.008383
                     51,                0.08029,                      1,                      1,                 2.4258,                0.00835,                0.00835,                0.00835
                     52,                0.08318,                      1,                      1,                 2.4258,               0.008317,               0.008317,               0.008317
