                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1134,                0.99345,                0.99994,                 2.4505,              0.0033216,              0.0033216,              0.0033216
                      2,                0.20852,                0.99879,                      1,                 2.4313,              0.0059859,              0.0059859,              0.0059859
                      3,                0.17953,                0.99885,                      1,                 2.4292,               0.007992,               0.007992,               0.007992
                      4,                0.15772,                0.99954,                      1,                 2.4271,              0.0070284,              0.0070284,              0.0070284
                      5,                 0.1137,                0.99971,                      1,                 2.4268,              0.0060378,              0.0060378,              0.0060378
                      6,                0.09137,                0.99994,                      1,                 2.4262,              0.0050472,              0.0050472,              0.0050472
                      7,                0.07027,                0.99994,                      1,                 2.4261,              0.0040567,              0.0040567,              0.0040567
                      8,                0.05777,                0.99989,                      1,                  2.426,              0.0030662,              0.0030662,              0.0030662
                      9,                 0.0506,                0.99994,                      1,                 2.4259,              0.0020756,              0.0020756,              0.0020756
                     10,                0.04417,                0.99994,                      1,                 2.4259,               0.001085,               0.001085,               0.001085
