                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1144,                0.99517,                0.99994,                 2.4482,              0.0035485,              0.0035485,              0.0035485
                      2,                 0.1944,                0.99828,                      1,                 2.4339,              0.0063953,              0.0063953,              0.0063953
                      3,                0.16335,                0.99856,                      1,                 2.4295,              0.0080206,              0.0080206,              0.0080206
                      4,                0.12615,                0.99966,                      1,                 2.4273,              0.0070308,              0.0070308,              0.0070308
                      5,                0.09349,                0.99971,                      1,                 2.4263,              0.0060411,              0.0060411,              0.0060411
                      6,                0.07819,                0.99994,                      1,                 2.4261,              0.0050514,              0.0050514,              0.0050514
                      7,                0.06339,                      1,                      1,                 2.4259,              0.0040617,              0.0040617,              0.0040617
                      8,                0.05511,                0.99994,                      1,                 2.4259,               0.003072,               0.003072,               0.003072
                      9,                0.04763,                0.99994,                      1,                 2.4259,              0.0020822,              0.0020822,              0.0020822
                     10,                0.04056,                      1,                      1,                 2.4258,              0.0010925,              0.0010925,              0.0010925
