                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68064,                0.99149,                0.99989,                 2.4436,              0.0039486,              0.0039486,              0.0039486
                      2,                0.18722,                 0.9981,                      1,                 2.4311,              0.0071141,              0.0071141,              0.0071141
                      3,                0.15724,                0.99874,                      1,                 2.4299,              0.0080146,              0.0080146,              0.0080146
                      4,                0.11892,                0.99931,                      1,                 2.4273,               0.007022,               0.007022,               0.007022
                      5,                0.09282,                0.99989,                      1,                 2.4264,              0.0060293,              0.0060293,              0.0060293
                      6,                0.07159,                0.99989,                      1,                 2.4261,              0.0050366,              0.0050366,              0.0050366
                      7,                0.06247,                0.99977,                      1,                 2.4262,              0.0040439,              0.0040439,              0.0040439
                      8,                0.05521,                0.99989,                      1,                  2.426,              0.0030512,              0.0030512,              0.0030512
                      9,                0.04252,                      1,                      1,                 2.4259,              0.0020586,              0.0020586,              0.0020586
                     10,                0.03533,                      1,                      1,                 2.4259,              0.0010659,              0.0010659,              0.0010659
