                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83098,                0.99655,                0.99989,                  2.438,              0.0036218,              0.0036218,              0.0036218
                      2,                0.17656,                0.99833,                      1,                 2.4306,              0.0065275,              0.0065275,              0.0065275
                      3,                0.14597,                0.99902,                      1,                  2.428,              0.0080209,              0.0080209,              0.0080209
                      4,                0.10871,                0.99971,                      1,                 2.4268,              0.0070314,              0.0070314,              0.0070314
                      5,                0.08732,                0.99989,                      1,                 2.4263,              0.0060419,              0.0060419,              0.0060419
                      6,                0.07168,                      1,                      1,                 2.4259,              0.0050523,              0.0050523,              0.0050523
                      7,                0.06045,                0.99994,                      1,                 2.4259,              0.0040628,              0.0040628,              0.0040628
                      8,                 0.0537,                      1,                      1,                 2.4259,              0.0030733,              0.0030733,              0.0030733
                      9,                0.04465,                0.99994,                      1,                 2.4259,              0.0020838,              0.0020838,              0.0020838
                     10,                0.03914,                      1,                      1,                 2.4259,              0.0010942,              0.0010942,              0.0010942
