                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7715,                0.93391,                      1,                 2.4045,              0.0033314,              0.0033314,              0.0033314
                      2,                0.32794,                0.98369,                      1,                 2.2824,              0.0066317,              0.0066317,              0.0066317
                      3,                0.20992,                0.99247,                      1,                 2.2658,              0.0098991,              0.0098991,              0.0098991
                      4,                 0.1834,                0.99888,                      1,                 2.2525,              0.0098515,              0.0098515,              0.0098515
                      5,                0.11791,                0.99108,                      1,                 2.2632,               0.009802,               0.009802,               0.009802
                      6,                0.09197,                0.99847,                      1,                 2.2506,              0.0097525,              0.0097525,              0.0097525
                      7,                0.07871,                 0.9908,                      1,                 2.2581,               0.009703,               0.009703,               0.009703
                      8,                0.06774,                0.99791,                      1,                 2.2512,              0.0096535,              0.0096535,              0.0096535
                      9,                0.07209,                0.99986,                      1,                 2.2485,               0.009604,               0.009604,               0.009604
                     10,                0.05805,                0.99428,                      1,                 2.2538,              0.0095545,              0.0095545,              0.0095545
                     11,                0.05239,                0.99986,                      1,                 2.2488,               0.009505,               0.009505,               0.009505
                     12,                0.05595,                0.99791,                      1,                 2.2505,              0.0094555,              0.0094555,              0.0094555
                     13,                 0.0572,                0.99986,                      1,                 2.2486,               0.009406,               0.009406,               0.009406
                     14,                 0.0473,                      1,                      1,                 2.2486,              0.0093565,              0.0093565,              0.0093565
                     15,                0.04119,                0.99972,                      1,                 2.2486,               0.009307,               0.009307,               0.009307
                     16,                0.04737,                      1,                      1,                 2.2481,              0.0092575,              0.0092575,              0.0092575
                     17,                0.04584,                 0.9993,                      1,                 2.2491,               0.009208,               0.009208,               0.009208
                     18,                0.04382,                 0.9993,                      1,                 2.2491,              0.0091585,              0.0091585,              0.0091585
                     19,                0.05046,                      1,                      1,                 2.2484,               0.009109,               0.009109,               0.009109
                     20,                  0.047,                0.99972,                      1,                 2.2488,              0.0090595,              0.0090595,              0.0090595
                     21,                0.04598,                      1,                      1,                 2.2482,                0.00901,                0.00901,                0.00901
