                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0717,                0.99672,                0.99989,                 2.4409,              0.0035859,              0.0035859,              0.0035859
                      2,                0.19017,                0.99678,                      1,                 2.4323,              0.0064632,              0.0064632,              0.0064632
                      3,                0.28358,                0.99247,                0.99994,                 2.4431,              0.0080217,              0.0080217,              0.0080217
                      4,                0.24484,                0.99874,                      1,                 2.4298,              0.0070325,              0.0070325,              0.0070325
                      5,                0.15989,                0.99908,                0.99989,                  2.428,              0.0060434,              0.0060434,              0.0060434
                      6,                0.11864,                0.99954,                      1,                 2.4269,              0.0050543,              0.0050543,              0.0050543
                      7,                0.09522,                0.99994,                      1,                 2.4263,              0.0040651,              0.0040651,              0.0040651
                      8,                0.07575,                0.99983,                      1,                 2.4261,               0.003076,               0.003076,               0.003076
                      9,                0.05869,                0.99989,                      1,                 2.4261,              0.0020868,              0.0020868,              0.0020868
                     10,                 0.0441,                0.99994,                      1,                 2.4259,              0.0010976,              0.0010976,              0.0010976
