                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    1.1,                0.99563,                0.99994,                 2.4469,              0.0041129,              0.0041129,              0.0041129
                      2,                0.20128,                0.99592,                      1,                 2.4376,              0.0074091,              0.0074091,              0.0074091
                      3,                0.34439,                0.99293,                0.99994,                 2.4397,               0.008012,               0.008012,               0.008012
                      4,                0.20794,                0.99632,                      1,                 2.4322,              0.0070181,              0.0070181,              0.0070181
                      5,                0.15695,                0.99943,                0.99994,                 2.4281,              0.0060241,              0.0060241,              0.0060241
                      6,                0.12692,                 0.9996,                0.99994,                 2.4269,              0.0050301,              0.0050301,              0.0050301
                      7,                 0.1033,                0.99943,                      1,                 2.4266,              0.0040361,              0.0040361,              0.0040361
                      8,                 0.0849,                0.99994,                      1,                 2.4261,              0.0030421,              0.0030421,              0.0030421
                      9,                0.06385,                0.99989,                      1,                 2.4261,              0.0020482,              0.0020482,              0.0020482
                     10,                0.04727,                0.99989,                      1,                 2.4261,              0.0010542,              0.0010542,              0.0010542
