                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.17,                0.99375,                0.99994,                 2.4176,              0.0033325,              0.0033325,              0.0033325
                      2,                0.20902,                0.99482,                      1,                 2.4036,              0.0065999,              0.0065999,              0.0065999
                      3,                0.18814,                 0.9975,                0.99994,                 2.3973,              0.0098012,              0.0098012,              0.0098012
                      4,                0.18288,                 0.9994,                      1,                 2.3941,               0.009703,               0.009703,               0.009703
                      5,                0.14134,                0.99982,                      1,                 2.3933,               0.009604,               0.009604,               0.009604
                      6,                0.12187,                0.99982,                      1,                 2.3931,               0.009505,               0.009505,               0.009505
                      7,                 0.1144,                 0.9997,                      1,                  2.393,               0.009406,               0.009406,               0.009406
                      8,                0.10851,                0.99976,                      1,                  2.393,               0.009307,               0.009307,               0.009307
                      9,                0.10819,                      1,                      1,                 2.3927,               0.009208,               0.009208,               0.009208
                     10,                0.10271,                      1,                      1,                 2.3926,               0.009109,               0.009109,               0.009109
                     11,                0.10596,                      1,                      1,                 2.3926,                0.00901,                0.00901,                0.00901
                     12,                0.09903,                      1,                      1,                 2.3927,               0.008911,               0.008911,               0.008911
                     13,                0.09761,                      1,                      1,                 2.3927,               0.008812,               0.008812,               0.008812
                     14,                0.09065,                      1,                      1,                 2.3926,               0.008713,               0.008713,               0.008713
                     15,                0.09722,                      1,                      1,                 2.3926,               0.008614,               0.008614,               0.008614
                     16,                0.09904,                      1,                      1,                 2.3926,               0.008515,               0.008515,               0.008515
                     17,                0.09308,                      1,                      1,                 2.3926,               0.008416,               0.008416,               0.008416
                     18,                0.09369,                      1,                      1,                 2.3926,               0.008317,               0.008317,               0.008317
                     19,                0.09544,                      1,                      1,                 2.3926,               0.008218,               0.008218,               0.008218
                     20,                0.08921,                      1,                      1,                 2.3926,               0.008119,               0.008119,               0.008119
                     21,                0.08898,                      1,                      1,                 2.3926,                0.00802,                0.00802,                0.00802
                     22,                0.08785,                      1,                      1,                 2.3926,               0.007921,               0.007921,               0.007921
                     23,                0.08098,                      1,                      1,                 2.3926,               0.007822,               0.007822,               0.007822
                     24,                0.08667,                      1,                      1,                 2.3926,               0.007723,               0.007723,               0.007723
                     25,                0.08362,                      1,                      1,                 2.3926,               0.007624,               0.007624,               0.007624
                     26,                 0.0846,                0.99994,                      1,                 2.3926,               0.007525,               0.007525,               0.007525
                     27,                0.08136,                0.99994,                      1,                 2.3927,               0.007426,               0.007426,               0.007426
                     28,                0.07879,                0.99994,                      1,                 2.3926,               0.007327,               0.007327,               0.007327
                     29,                0.08486,                0.99994,                      1,                 2.3926,               0.007228,               0.007228,               0.007228
                     30,                 0.0734,                0.99994,                      1,                 2.3927,               0.007129,               0.007129,               0.007129
