                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1381,                0.99489,                0.99994,                 2.4505,              0.0036812,              0.0036812,              0.0036812
                      2,                0.23972,                0.99592,                      1,                  2.435,              0.0066335,              0.0066335,              0.0066335
                      3,                0.18833,                 0.9992,                      1,                 2.4283,              0.0080179,              0.0080179,              0.0080179
                      4,                0.14691,                0.99954,                      1,                  2.427,              0.0070268,              0.0070268,              0.0070268
                      5,                0.11765,                0.99971,                      1,                 2.4264,              0.0060357,              0.0060357,              0.0060357
                      6,                0.09366,                0.99989,                      1,                 2.4261,              0.0050447,              0.0050447,              0.0050447
                      7,                0.08112,                0.99994,                      1,                  2.426,              0.0040536,              0.0040536,              0.0040536
                      8,                0.07136,                0.99983,                      1,                  2.426,              0.0030625,              0.0030625,              0.0030625
                      9,                 0.0641,                0.99994,                      1,                  2.426,              0.0020714,              0.0020714,              0.0020714
                     10,                0.05578,                0.99994,                      1,                  2.426,              0.0010804,              0.0010804,              0.0010804
