                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.22,                0.99069,                0.99994,                 2.4607,              0.0029958,              0.0029958,              0.0029958
                      2,                0.23046,                0.99845,                      1,                 2.4331,              0.0053987,              0.0053987,              0.0053987
                      3,                0.17022,                0.99948,                      1,                 2.4287,              0.0072079,              0.0072079,              0.0072079
                      4,                0.14739,                0.99931,                      1,                 2.4272,              0.0070282,              0.0070282,              0.0070282
                      5,                 0.1089,                0.99977,                      1,                 2.4264,              0.0060376,              0.0060376,              0.0060376
                      6,                0.08996,                0.99989,                      1,                 2.4261,               0.005047,               0.005047,               0.005047
                      7,                0.07736,                0.99994,                      1,                  2.426,              0.0040565,              0.0040565,              0.0040565
                      8,                0.06677,                0.99994,                      1,                 2.4259,              0.0030659,              0.0030659,              0.0030659
                      9,                0.05514,                0.99994,                      1,                  2.426,              0.0020753,              0.0020753,              0.0020753
                     10,                0.05151,                0.99994,                      1,                  2.426,              0.0010847,              0.0010847,              0.0010847
