                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1601,                0.99489,                      1,                 2.4491,              0.0033326,              0.0033326,              0.0033326
                      2,                0.20343,                0.99805,                      1,                 2.4312,              0.0065339,              0.0065339,              0.0065339
                      3,                0.18706,                 0.9973,                      1,                 2.4312,              0.0096033,              0.0096033,              0.0096033
                      4,                0.18396,                0.99948,                      1,                 2.4274,               0.009406,               0.009406,               0.009406
                      5,                0.13489,                0.99943,                      1,                  2.427,               0.009208,               0.009208,               0.009208
                      6,                0.12283,                0.99954,                      1,                 2.4268,                0.00901,                0.00901,                0.00901
                      7,                0.10982,                0.99983,                      1,                 2.4261,               0.008812,               0.008812,               0.008812
                      8,                0.10248,                0.99989,                      1,                 2.4261,               0.008614,               0.008614,               0.008614
                      9,                0.09886,                0.99977,                      1,                 2.4261,               0.008416,               0.008416,               0.008416
                     10,                0.09689,                0.99983,                      1,                 2.4261,               0.008218,               0.008218,               0.008218
                     11,                0.09319,                0.99989,                      1,                  2.426,                0.00802,                0.00802,                0.00802
                     12,                0.09384,                0.99989,                      1,                  2.426,               0.007822,               0.007822,               0.007822
                     13,                0.09201,                0.99989,                      1,                  2.426,               0.007624,               0.007624,               0.007624
                     14,                0.08549,                0.99989,                      1,                 2.4259,               0.007426,               0.007426,               0.007426
                     15,                0.08466,                0.99989,                      1,                 2.4259,               0.007228,               0.007228,               0.007228
                     16,                0.08348,                0.99989,                      1,                 2.4259,                0.00703,                0.00703,                0.00703
                     17,                0.08291,                0.99989,                      1,                 2.4259,               0.006832,               0.006832,               0.006832
                     18,                0.07958,                0.99989,                      1,                 2.4259,               0.006634,               0.006634,               0.006634
                     19,                0.07615,                0.99989,                      1,                 2.4259,               0.006436,               0.006436,               0.006436
                     20,                0.07472,                0.99989,                      1,                 2.4259,               0.006238,               0.006238,               0.006238
                     21,                0.07126,                0.99989,                      1,                 2.4259,                0.00604,                0.00604,                0.00604
                     22,                0.06994,                0.99989,                      1,                 2.4259,               0.005842,               0.005842,               0.005842
                     23,                 0.0659,                0.99989,                      1,                 2.4259,               0.005644,               0.005644,               0.005644
                     24,                0.06631,                0.99989,                      1,                 2.4259,               0.005446,               0.005446,               0.005446
                     25,                0.06266,                0.99983,                      1,                 2.4259,               0.005248,               0.005248,               0.005248
                     26,                0.06238,                0.99983,                      1,                 2.4259,                0.00505,                0.00505,                0.00505
                     27,                0.06213,                0.99989,                      1,                 2.4259,               0.004852,               0.004852,               0.004852
                     28,                0.05643,                0.99994,                      1,                 2.4259,               0.004654,               0.004654,               0.004654
                     29,                0.05554,                      1,                      1,                 2.4259,               0.004456,               0.004456,               0.004456
                     30,                0.05453,                      1,                      1,                 2.4259,               0.004258,               0.004258,               0.004258
                     31,                0.05164,                      1,                      1,                 2.4259,                0.00406,                0.00406,                0.00406
                     32,                0.04775,                      1,                      1,                 2.4259,               0.003862,               0.003862,               0.003862
                     33,                0.04981,                      1,                      1,                 2.4259,               0.003664,               0.003664,               0.003664
                     34,                0.04873,                      1,                      1,                 2.4258,               0.003466,               0.003466,               0.003466
                     35,                0.04311,                      1,                      1,                 2.4258,               0.003268,               0.003268,               0.003268
                     36,                0.03992,                      1,                      1,                 2.4258,                0.00307,                0.00307,                0.00307
                     37,                0.03777,                      1,                      1,                 2.4258,               0.002872,               0.002872,               0.002872
                     38,                0.03909,                      1,                      1,                 2.4258,               0.002674,               0.002674,               0.002674
                     39,                0.03427,                      1,                      1,                 2.4258,               0.002476,               0.002476,               0.002476
                     40,                0.03551,                      1,                      1,                 2.4258,               0.002278,               0.002278,               0.002278
                     41,                0.03188,                      1,                      1,                 2.4258,                0.00208,                0.00208,                0.00208
                     42,                0.03071,                      1,                      1,                 2.4258,               0.001882,               0.001882,               0.001882
                     43,                0.02793,                      1,                      1,                 2.4258,               0.001684,               0.001684,               0.001684
                     44,                0.02767,                      1,                      1,                 2.4258,               0.001486,               0.001486,               0.001486
                     45,                0.02522,                      1,                      1,                 2.4258,               0.001288,               0.001288,               0.001288
                     46,                0.02595,                      1,                      1,                 2.4258,                0.00109,                0.00109,                0.00109
                     47,                0.02284,                      1,                      1,                 2.4258,               0.000892,               0.000892,               0.000892
                     48,                 0.0212,                      1,                      1,                 2.4258,               0.000694,               0.000694,               0.000694
                     49,                 0.0191,                      1,                      1,                 2.4258,               0.000496,               0.000496,               0.000496
                     50,                0.01903,                      1,                      1,                 2.4258,               0.000298,               0.000298,               0.000298
