                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1615,                0.99437,                0.99989,                 2.4519,              0.0034126,              0.0034126,              0.0034126
                      2,                0.21829,                 0.9977,                0.99989,                 2.4326,                0.00615,                0.00615,                0.00615
                      3,                0.18875,                0.99839,                0.99994,                 2.4299,              0.0080195,              0.0080195,              0.0080195
                      4,                0.16144,                0.99966,                      1,                 2.4269,              0.0070293,              0.0070293,              0.0070293
                      5,                0.11826,                0.99977,                      1,                 2.4263,               0.006039,               0.006039,               0.006039
                      6,                0.08876,                0.99971,                      1,                 2.4261,              0.0050487,              0.0050487,              0.0050487
                      7,                0.07523,                0.99983,                      1,                  2.426,              0.0040585,              0.0040585,              0.0040585
                      8,                0.05978,                0.99994,                      1,                 2.4259,              0.0030683,              0.0030683,              0.0030683
                      9,                0.05302,                0.99989,                      1,                  2.426,               0.002078,               0.002078,               0.002078
                     10,                0.04377,                0.99989,                      1,                 2.4259,              0.0010877,              0.0010877,              0.0010877
