                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2256,                0.99322,                0.99994,                 2.4598,              0.0028982,              0.0028982,              0.0028982
                      2,                0.21639,                0.99782,                      1,                 2.4333,              0.0052226,              0.0052226,              0.0052226
                      3,                0.16583,                0.99891,                0.99994,                 2.4296,              0.0069724,              0.0069724,              0.0069724
                      4,                0.14737,                0.99908,                      1,                 2.4282,              0.0070272,              0.0070272,              0.0070272
                      5,                0.11334,                0.99989,                      1,                 2.4266,              0.0060362,              0.0060362,              0.0060362
                      6,                  0.089,                0.99971,                      1,                 2.4267,              0.0050453,              0.0050453,              0.0050453
                      7,                0.07182,                0.99989,                      1,                 2.4261,              0.0040544,              0.0040544,              0.0040544
                      8,                0.06015,                0.99983,                      1,                 2.4261,              0.0030634,              0.0030634,              0.0030634
                      9,                0.05116,                0.99994,                      1,                  2.426,              0.0020725,              0.0020725,              0.0020725
                     10,                0.04388,                      1,                      1,                 2.4259,              0.0010815,              0.0010815,              0.0010815
