                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.127,                0.99534,                0.99994,                 2.4503,              0.0033326,              0.0033326,              0.0033326
                      2,                0.19663,                0.99793,                      1,                 2.4318,              0.0060049,              0.0060049,              0.0060049
                      3,                 0.2445,                0.99264,                0.99994,                 2.4402,               0.008016,               0.008016,               0.008016
                      4,                 0.2928,                0.99747,                0.99994,                 2.4319,               0.007025,               0.007025,               0.007025
                      5,                0.17664,                0.99925,                0.99994,                 2.4281,              0.0060333,              0.0060333,              0.0060333
                      6,                  0.136,                0.99954,                      1,                 2.4272,              0.0050416,              0.0050416,              0.0050416
                      7,                 0.1093,                0.99983,                      1,                 2.4263,                0.00405,                0.00405,                0.00405
                      8,                 0.0868,                0.99989,                      1,                 2.4262,              0.0030583,              0.0030583,              0.0030583
                      9,                0.06436,                0.99989,                      1,                  2.426,              0.0020666,              0.0020666,              0.0020666
                     10,                0.04957,                      1,                      1,                  2.426,               0.001075,               0.001075,               0.001075
