                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.175,                0.99408,                0.99994,                 2.4485,              0.0033326,              0.0033326,              0.0033326
                      2,                 0.2197,                0.99782,                      1,                 2.4322,              0.0065999,              0.0065999,              0.0065999
                      3,                0.20932,                0.99799,                      1,                 2.4306,              0.0098012,              0.0098012,              0.0098012
                      4,                0.20701,                0.99874,                      1,                 2.4285,               0.009703,               0.009703,               0.009703
                      5,                0.15678,                0.99971,                      1,                 2.4266,               0.009604,               0.009604,               0.009604
                      6,                0.13618,                0.99989,                      1,                 2.4262,               0.009505,               0.009505,               0.009505
                      7,                0.12741,                0.99994,                      1,                 2.4261,               0.009406,               0.009406,               0.009406
                      8,                0.12447,                      1,                      1,                 2.4259,               0.009307,               0.009307,               0.009307
                      9,                0.11772,                      1,                      1,                  2.426,               0.009208,               0.009208,               0.009208
                     10,                0.11111,                      1,                      1,                 2.4259,               0.009109,               0.009109,               0.009109
                     11,                0.10754,                0.99994,                      1,                 2.4258,                0.00901,                0.00901,                0.00901
                     12,                0.11286,                      1,                      1,                 2.4259,               0.008911,               0.008911,               0.008911
                     13,                0.11727,                      1,                      1,                 2.4259,               0.008812,               0.008812,               0.008812
                     14,                0.10284,                      1,                      1,                 2.4259,               0.008713,               0.008713,               0.008713
                     15,                0.10642,                      1,                      1,                 2.4259,               0.008614,               0.008614,               0.008614
                     16,                0.10302,                      1,                      1,                 2.4259,               0.008515,               0.008515,               0.008515
                     17,                0.10028,                      1,                      1,                 2.4259,               0.008416,               0.008416,               0.008416
                     18,                0.09995,                      1,                      1,                 2.4259,               0.008317,               0.008317,               0.008317
                     19,                0.10002,                      1,                      1,                 2.4259,               0.008218,               0.008218,               0.008218
                     20,                0.09536,                      1,                      1,                 2.4259,               0.008119,               0.008119,               0.008119
                     21,                0.10047,                      1,                      1,                 2.4259,                0.00802,                0.00802,                0.00802
                     22,                 0.0976,                      1,                      1,                 2.4259,               0.007921,               0.007921,               0.007921
                     23,                0.09261,                      1,                      1,                 2.4259,               0.007822,               0.007822,               0.007822
                     24,                0.09594,                      1,                      1,                 2.4259,               0.007723,               0.007723,               0.007723
                     25,                0.08977,                      1,                      1,                 2.4259,               0.007624,               0.007624,               0.007624
                     26,                0.09067,                      1,                      1,                 2.4259,               0.007525,               0.007525,               0.007525
                     27,                0.09039,                      1,                      1,                 2.4259,               0.007426,               0.007426,               0.007426
                     28,                0.08441,                      1,                      1,                 2.4259,               0.007327,               0.007327,               0.007327
                     29,                0.08426,                0.99994,                      1,                 2.4259,               0.007228,               0.007228,               0.007228
                     30,                0.08638,                0.99994,                      1,                 2.4259,               0.007129,               0.007129,               0.007129
                     31,                0.08401,                0.99994,                      1,                 2.4259,                0.00703,                0.00703,                0.00703
                     32,                0.08315,                0.99994,                      1,                 2.4259,               0.006931,               0.006931,               0.006931
                     33,                0.08231,                0.99994,                      1,                 2.4259,               0.006832,               0.006832,               0.006832
                     34,                0.08582,                0.99994,                      1,                 2.4259,               0.006733,               0.006733,               0.006733
                     35,                 0.0787,                0.99994,                      1,                 2.4259,               0.006634,               0.006634,               0.006634
                     36,                0.07955,                0.99994,                      1,                 2.4259,               0.006535,               0.006535,               0.006535
                     37,                0.08096,                0.99994,                      1,                 2.4259,               0.006436,               0.006436,               0.006436
                     38,                0.07453,                0.99994,                      1,                 2.4259,               0.006337,               0.006337,               0.006337
                     39,                0.07252,                0.99994,                      1,                 2.4259,               0.006238,               0.006238,               0.006238
                     40,                0.07613,                0.99994,                      1,                 2.4259,               0.006139,               0.006139,               0.006139
                     41,                0.07612,                0.99994,                      1,                 2.4259,                0.00604,                0.00604,                0.00604
                     42,                0.07274,                0.99994,                      1,                 2.4259,               0.005941,               0.005941,               0.005941
                     43,                0.07634,                0.99994,                      1,                 2.4259,               0.005842,               0.005842,               0.005842
                     44,                0.07492,                0.99994,                      1,                 2.4259,               0.005743,               0.005743,               0.005743
                     45,                0.06851,                0.99994,                      1,                 2.4259,               0.005644,               0.005644,               0.005644
                     46,                0.06607,                0.99994,                      1,                 2.4259,               0.005545,               0.005545,               0.005545
                     47,                0.06713,                0.99994,                      1,                 2.4259,               0.005446,               0.005446,               0.005446
                     48,                0.06834,                0.99994,                      1,                 2.4258,               0.005347,               0.005347,               0.005347
