                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1558,                0.99213,                0.99989,                 2.4541,              0.0034126,              0.0034126,              0.0034126
                      2,                 0.2183,                0.99598,                      1,                 2.4335,              0.0061502,              0.0061502,              0.0061502
                      3,                0.21762,                0.99736,                0.99989,                 2.4334,                0.00802,                0.00802,                0.00802
                      4,                0.19691,                0.99914,                      1,                  2.428,                0.00703,                0.00703,                0.00703
                      5,                0.13691,                0.99983,                      1,                 2.4265,                0.00604,                0.00604,                0.00604
                      6,                0.10601,                0.99989,                      1,                 2.4261,                0.00505,                0.00505,                0.00505
                      7,                0.08038,                0.99989,                      1,                 2.4261,                0.00406,                0.00406,                0.00406
                      8,                0.06868,                0.99994,                      1,                  2.426,                0.00307,                0.00307,                0.00307
                      9,                 0.0571,                      1,                      1,                 2.4259,                0.00208,                0.00208,                0.00208
                     10,                0.04692,                      1,                      1,                 2.4259,                0.00109,                0.00109,                0.00109
