                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1118,                0.99575,                0.99994,                 2.4438,              0.0051334,              0.0051334,              0.0051334
                      2,                0.20305,                0.99534,                      1,                 2.4353,                0.00901,                0.00901,                0.00901
                      3,                0.16356,                0.99902,                      1,                 2.4281,                0.00802,                0.00802,                0.00802
                      4,                0.10246,                0.99966,                      1,                 2.4267,                0.00703,                0.00703,                0.00703
                      5,                0.08391,                0.99989,                      1,                 2.4264,                0.00604,                0.00604,                0.00604
                      6,                0.06848,                0.99983,                      1,                 2.4261,                0.00505,                0.00505,                0.00505
                      7,                0.05777,                0.99994,                      1,                 2.4259,                0.00406,                0.00406,                0.00406
                      8,                 0.0486,                      1,                      1,                 2.4259,                0.00307,                0.00307,                0.00307
                      9,                0.04094,                      1,                      1,                 2.4258,                0.00208,                0.00208,                0.00208
                     10,                0.03457,                0.99994,                      1,                 2.4259,                0.00109,                0.00109,                0.00109
