                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90381,                0.99603,                0.99989,                 2.4411,              0.0033035,              0.0033035,              0.0033035
                      2,                0.20143,                0.99672,                      1,                 2.4326,              0.0059538,              0.0059538,              0.0059538
                      3,                0.19798,                0.99874,                      1,                 2.4299,              0.0079501,              0.0079501,              0.0079501
                      4,                0.18346,                0.99902,                0.99994,                 2.4282,              0.0070311,              0.0070311,              0.0070311
                      5,                  0.131,                0.99966,                0.99989,                 2.4264,              0.0060415,              0.0060415,              0.0060415
                      6,                 0.1013,                0.99989,                      1,                 2.4262,              0.0050519,              0.0050519,              0.0050519
                      7,                0.07962,                0.99989,                      1,                 2.4261,              0.0040622,              0.0040622,              0.0040622
                      8,                0.06298,                0.99994,                      1,                  2.426,              0.0030726,              0.0030726,              0.0030726
                      9,                0.05282,                0.99994,                      1,                 2.4259,               0.002083,               0.002083,               0.002083
                     10,                0.04192,                0.99994,                      1,                 2.4259,              0.0010933,              0.0010933,              0.0010933
