                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1943,                0.99408,                      1,                 2.4545,              0.0034325,              0.0034325,              0.0034325
                      2,                0.24428,                0.99914,                      1,                 2.4314,              0.0061855,              0.0061855,              0.0061855
                      3,                0.20166,                0.99793,                      1,                 2.4301,              0.0080181,              0.0080181,              0.0080181
                      4,                0.16358,                0.99943,                      1,                 2.4273,              0.0070272,              0.0070272,              0.0070272
                      5,                0.12755,                0.99983,                      1,                 2.4267,              0.0060363,              0.0060363,              0.0060363
                      6,                0.10546,                0.99971,                      1,                 2.4264,              0.0050453,              0.0050453,              0.0050453
                      7,                0.08577,                0.99994,                      1,                 2.4261,              0.0040544,              0.0040544,              0.0040544
                      8,                 0.0707,                0.99989,                      1,                  2.426,              0.0030635,              0.0030635,              0.0030635
                      9,                0.06121,                0.99994,                      1,                 2.4259,              0.0020726,              0.0020726,              0.0020726
                     10,                0.05574,                0.99994,                      1,                  2.426,              0.0010816,              0.0010816,              0.0010816
