                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72597,                0.99305,                0.99994,                 2.4414,               0.003221,               0.003221,               0.003221
                      2,                0.17942,                 0.9973,                0.99994,                 2.4313,              0.0058025,              0.0058025,              0.0058025
                      3,                 0.1518,                0.99908,                      1,                 2.4282,              0.0077437,              0.0077437,              0.0077437
                      4,                0.12394,                0.99943,                      1,                 2.4271,              0.0070188,              0.0070188,              0.0070188
                      5,                0.09454,                0.99954,                      1,                 2.4268,              0.0060251,              0.0060251,              0.0060251
                      6,                0.07874,                0.99994,                      1,                 2.4261,              0.0050314,              0.0050314,              0.0050314
                      7,                 0.0607,                0.99989,                      1,                  2.426,              0.0040376,              0.0040376,              0.0040376
                      8,                0.05243,                      1,                      1,                 2.4259,              0.0030439,              0.0030439,              0.0030439
                      9,                0.04273,                      1,                      1,                 2.4259,              0.0020502,              0.0020502,              0.0020502
                     10,                0.03773,                0.99989,                      1,                 2.4259,              0.0010564,              0.0010564,              0.0010564
