                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1812,                0.99443,                0.99994,                 2.4501,              0.0048865,              0.0048865,              0.0048865
                      2,                0.22139,                0.99753,                      1,                 2.4332,              0.0088068,              0.0088068,              0.0088068
                      3,                0.18173,                0.99713,                      1,                 2.4299,              0.0080205,              0.0080205,              0.0080205
                      4,                0.11946,                 0.9996,                      1,                 2.4269,              0.0070308,              0.0070308,              0.0070308
                      5,                0.09587,                0.99983,                      1,                 2.4264,              0.0060411,              0.0060411,              0.0060411
                      6,                 0.0793,                0.99983,                      1,                 2.4261,              0.0050514,              0.0050514,              0.0050514
                      7,                0.06761,                0.99994,                      1,                 2.4259,              0.0040616,              0.0040616,              0.0040616
                      8,                0.05703,                0.99989,                      1,                  2.426,              0.0030719,              0.0030719,              0.0030719
                      9,                0.04991,                0.99994,                      1,                 2.4259,              0.0020822,              0.0020822,              0.0020822
                     10,                0.04305,                      1,                      1,                 2.4259,              0.0010924,              0.0010924,              0.0010924
