                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1511,                0.99529,                0.99994,                 2.4502,              0.0034155,              0.0034155,              0.0034155
                      2,                0.22172,                0.99845,                      1,                  2.432,              0.0061556,              0.0061556,              0.0061556
                      3,                 0.2131,                0.99431,                      1,                  2.435,              0.0080203,              0.0080203,              0.0080203
                      4,                0.19352,                0.99931,                      1,                 2.4284,              0.0070304,              0.0070304,              0.0070304
                      5,                 0.1345,                0.99931,                0.99994,                 2.4269,              0.0060406,              0.0060406,              0.0060406
                      6,                0.10577,                0.99983,                      1,                 2.4263,              0.0050508,              0.0050508,              0.0050508
                      7,                0.08432,                0.99983,                      1,                 2.4263,              0.0040609,              0.0040609,              0.0040609
                      8,                0.06962,                0.99994,                      1,                  2.426,              0.0030711,              0.0030711,              0.0030711
                      9,                0.05524,                0.99989,                      1,                  2.426,              0.0020812,              0.0020812,              0.0020812
                     10,                0.04822,                      1,                      1,                 2.4259,              0.0010913,              0.0010913,              0.0010913
