                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.467,                0.98971,                0.99989,                 2.4785,              0.0028586,              0.0028586,              0.0028586
                      2,                0.23675,                0.99822,                      1,                 2.4352,              0.0051517,              0.0051517,              0.0051517
                      3,                0.16596,                0.99902,                0.99989,                 2.4294,              0.0068787,              0.0068787,              0.0068787
                      4,                0.22097,                0.99885,                      1,                 2.4293,                0.00703,                0.00703,                0.00703
                      5,                 0.1489,                0.99943,                      1,                 2.4276,                0.00604,                0.00604,                0.00604
                      6,                0.10786,                0.99971,                      1,                 2.4265,                0.00505,                0.00505,                0.00505
                      7,                0.08178,                0.99989,                      1,                 2.4261,                0.00406,                0.00406,                0.00406
                      8,                0.06145,                0.99989,                      1,                  2.426,                0.00307,                0.00307,                0.00307
                      9,                0.05227,                0.99983,                      1,                  2.426,                0.00208,                0.00208,                0.00208
                     10,                 0.0426,                0.99989,                      1,                 2.4259,                0.00109,                0.00109,                0.00109
