                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1976,                0.99305,                0.99994,                 2.4587,              0.0038524,              0.0038524,              0.0038524
                      2,                0.24567,                0.99805,                      1,                 2.4347,              0.0069423,              0.0069423,              0.0069423
                      3,                0.17726,                0.99925,                0.99994,                 2.4285,              0.0080185,              0.0080185,              0.0080185
                      4,                0.13109,                0.99943,                      1,                 2.4277,              0.0070278,              0.0070278,              0.0070278
                      5,                0.10763,                0.99971,                      1,                 2.4267,               0.006037,               0.006037,               0.006037
                      6,                0.09859,                0.99994,                      1,                 2.4263,              0.0050463,              0.0050463,              0.0050463
                      7,                0.08643,                0.99989,                      1,                 2.4261,              0.0040556,              0.0040556,              0.0040556
                      8,                0.07654,                      1,                      1,                 2.4261,              0.0030648,              0.0030648,              0.0030648
                      9,                0.06933,                0.99989,                      1,                 2.4261,              0.0020741,              0.0020741,              0.0020741
                     10,                 0.0607,                0.99989,                      1,                  2.426,              0.0010833,              0.0010833,              0.0010833
