                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1562,                 0.9946,                0.99989,                 2.4502,              0.0033326,              0.0033326,              0.0033326
                      2,                0.20745,                0.99724,                      1,                 2.4322,               0.006006,               0.006006,               0.006006
                      3,                0.18003,                0.99868,                      1,                 2.4291,              0.0080194,              0.0080194,              0.0080194
                      4,                0.15449,                0.99943,                      1,                 2.4272,                0.00703,                0.00703,                0.00703
                      5,                0.10807,                0.99983,                      1,                 2.4264,                0.00604,                0.00604,                0.00604
                      6,                 0.0891,                0.99989,                      1,                 2.4261,                0.00505,                0.00505,                0.00505
                      7,                0.07078,                      1,                      1,                  2.426,                0.00406,                0.00406,                0.00406
                      8,                0.05868,                0.99989,                      1,                  2.426,                0.00307,                0.00307,                0.00307
                      9,                0.04839,                      1,                      1,                 2.4259,                0.00208,                0.00208,                0.00208
                     10,                0.04309,                      1,                      1,                 2.4259,                0.00109,                0.00109,                0.00109
