                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1202,                0.99351,                0.99989,                 2.4508,              0.0033209,              0.0033209,              0.0033209
                      2,                 0.1849,                0.99598,                      1,                 2.4348,              0.0059838,              0.0059838,              0.0059838
                      3,                0.15267,                0.99845,                      1,                 2.4297,              0.0079881,              0.0079881,              0.0079881
                      4,                0.13024,                0.99966,                      1,                 2.4272,              0.0070253,              0.0070253,              0.0070253
                      5,                0.09025,                 0.9996,                      1,                 2.4263,              0.0060337,              0.0060337,              0.0060337
                      6,                0.07259,                0.99989,                      1,                 2.4263,              0.0050421,              0.0050421,              0.0050421
                      7,                0.05986,                0.99994,                      1,                 2.4259,              0.0040506,              0.0040506,              0.0040506
                      8,                 0.0503,                0.99994,                      1,                 2.4259,               0.003059,               0.003059,               0.003059
                      9,                0.04108,                0.99994,                      1,                 2.4259,              0.0020674,              0.0020674,              0.0020674
                     10,                0.03451,                0.99994,                      1,                 2.4259,              0.0010759,              0.0010759,              0.0010759
