                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69108,                0.96351,                0.99891,                 2.4843,               0.070007,              0.0033326,              0.0033326
                      2,                0.52472,                0.98132,                0.99925,                 2.4636,               0.039941,              0.0065999,              0.0065999
                      3,                  0.489,                0.98253,                0.99977,                 2.4592,              0.0098089,              0.0098012,              0.0098012
                      4,                0.42824,                0.99253,                0.99989,                 2.4493,               0.009703,               0.009703,               0.009703
                      5,                0.40148,                0.99316,                0.99989,                 2.4461,               0.009604,               0.009604,               0.009604
                      6,                0.38844,                0.99609,                      1,                 2.4432,               0.009505,               0.009505,               0.009505
                      7,                0.36316,                0.99615,                      1,                 2.4403,               0.009406,               0.009406,               0.009406
                      8,                0.36026,                 0.9969,                0.99983,                  2.439,               0.009307,               0.009307,               0.009307
                      9,                0.35508,                 0.9969,                0.99989,                 2.4409,               0.009208,               0.009208,               0.009208
                     10,                0.34954,                0.99736,                0.99977,                 2.4407,               0.009109,               0.009109,               0.009109
                     11,                0.33499,                0.99724,                0.99989,                 2.4394,                0.00901,                0.00901,                0.00901
                     12,                 0.3354,                0.99672,                0.99989,                 2.4395,               0.008911,               0.008911,               0.008911
                     13,                0.33793,                0.99678,                0.99989,                 2.4405,               0.008812,               0.008812,               0.008812
                     14,                   0.32,                0.99655,                0.99983,                 2.4418,               0.008713,               0.008713,               0.008713
                     15,                0.31483,                0.99621,                0.99983,                 2.4432,               0.008614,               0.008614,               0.008614
                     16,                0.31677,                0.99586,                0.99983,                 2.4445,               0.008515,               0.008515,               0.008515
                     17,                 0.3183,                0.99557,                0.99983,                 2.4459,               0.008416,               0.008416,               0.008416
                     18,                0.30651,                0.99523,                0.99983,                 2.4473,               0.008317,               0.008317,               0.008317
                     19,                 0.3025,                0.99437,                0.99983,                 2.4489,               0.008218,               0.008218,               0.008218
                     20,                0.30056,                 0.9942,                0.99983,                 2.4505,               0.008119,               0.008119,               0.008119
                     21,                0.30189,                0.99402,                0.99989,                  2.452,                0.00802,                0.00802,                0.00802
