                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1053,                0.99374,                      1,                 2.4482,              0.0031211,              0.0031211,              0.0031211
                      2,                0.19084,                0.99833,                      1,                   2.43,              0.0056244,              0.0056244,              0.0056244
                      3,                0.16523,                0.99833,                      1,                 2.4291,               0.007509,               0.007509,               0.007509
                      4,                0.15958,                0.99908,                      1,                 2.4276,              0.0070275,              0.0070275,              0.0070275
                      5,                0.11181,                0.99966,                      1,                 2.4265,              0.0060366,              0.0060366,              0.0060366
                      6,                0.08762,                0.99983,                      1,                  2.426,              0.0050458,              0.0050458,              0.0050458
                      7,                0.06756,                0.99989,                      1,                  2.426,               0.004055,               0.004055,               0.004055
                      8,                0.05331,                0.99983,                      1,                  2.426,              0.0030641,              0.0030641,              0.0030641
                      9,                0.04467,                0.99994,                      1,                 2.4259,              0.0020733,              0.0020733,              0.0020733
                     10,                0.03687,                      1,                      1,                 2.4259,              0.0010824,              0.0010824,              0.0010824
