                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1568,                0.99408,                0.99989,                 2.4499,              0.0034706,              0.0034706,              0.0034706
                      2,                0.21982,                0.99822,                      1,                 2.4312,              0.0062547,              0.0062547,              0.0062547
                      3,                 0.2282,                 0.9958,                      1,                 2.4339,                0.00802,                0.00802,                0.00802
                      4,                0.19124,                0.99931,                      1,                  2.428,                0.00703,                0.00703,                0.00703
                      5,                0.12906,                 0.9996,                      1,                 2.4265,                0.00604,                0.00604,                0.00604
                      6,                0.10293,                0.99977,                      1,                 2.4264,                0.00505,                0.00505,                0.00505
                      7,                0.08181,                      1,                      1,                 2.4259,                0.00406,                0.00406,                0.00406
                      8,                 0.0678,                0.99994,                      1,                  2.426,                0.00307,                0.00307,                0.00307
                      9,                0.05476,                      1,                      1,                 2.4259,                0.00208,                0.00208,                0.00208
                     10,                0.04542,                      1,                      1,                 2.4258,                0.00109,                0.00109,                0.00109
